1,50435.71,-100871420.0
1,17498.549,-34997098.0
1,25854.971,-51709942.0
2,29837.045,-59674090.0
3,15508.275,-31016550.0
4,75679.424,-151358848.0
5,88358.046,-176716092.0
6,84298.7115,-168597423.0
7,26776.835,-53553670.0
8,31240.6195,-62481239.0
9,43797.3335,-87594667.0
10,42421.0535,-84842107.0
11,31393.99,-62787980.0
12,32870.2165,-65740433.0
13,22999.4065,-45998813.0
14,3673.6475,-7347295.0
15,7412.5115,-14825023.0
16,31615.2685,-63230537.0
17,90656.049,-181312098.0
18,107412.539,-214825078.0
19,102323.6995,-204647399.0
20,94658.3025,-189316605.0
21,86218.5515,-172437103.0
22,85693.446,-171386892.0
23,44390.638,-88781276.0
24,33130.612,-66261224.0
25,75913.954,-151827908.0
26,34704.905,-69409810.0
27,84901.96,-169803920.0
28,89469.1925,-178938385.0
29,99264.5065,-198529013.0
30,73745.869,-147491738.0
31,32553.994,-65107988.0
32,87803.214,-175606428.0
33,80666.387,-161332774.0
34,77768.2705,-155536541.0
35,76371.3015,-152742603.0
36,86506.639,-173013278.0
37,92963.852,-185927704.0
38,86864.727,-173729454.0
39,88336.584,-176673168.0
40,76923.267,-153846534.0
41,69225.235,-138450470.0
42,67118.49,-134236980.0
43,72015.883,-144031766.0
44,63553.706,-127107412.0
45,65057.1565,-130114313.0
46,67529.2875,-135058575.0
47,45232.1645,-90464329.0
48,79843.331,-159686662.0
49,79890.954,-159781908.0
50,87395.938,-174791876.0
51,76151.3315,-152302663.0
52,76219.7585,-152439517.0
53,22479.9655,-44959931.0
54,70269.929,-140539858.0
55,3036.384,-6072768.0
56,7938.1925,-15876385.0
57,5176.645,-10353290.0
58,30101.084,-60202168.0
59,2388.3485,-4776697.0
60,9495.293,-18990586.0
61,18387.5035,-36775007.0
62,11767.087,-23534174.0
63,16923.5645,-33847129.0
64,8701.5265,-17403053.0
65,15948.575,-31897150.0
66,24696.513,-49393026.0
67,19727.5335,-39455067.0
68,5823.7615,-11647523.0
69,5673.7005,-11347401.0
70,7996.633,-15993266.0
71,26723.7055,-53447411.0
72,41779.1925,-83558385.0
73,30358.92,-60717840.0
74,40117.726,-80235452.0
75,39276.219,-78552438.0
76,37828.7035,-75657407.0
77,12127.3325,-24254665.0
78,52190.066,-104380132.0
79,89639.0385,-179278077.0
80,100102.3335,-200204667.0
81,83262.8425,-166525685.0
82,88587.032,-177174064.0
83,110445.6015,-220891203.0
84,88025.773,-176051546.0
85,87126.899,-174253798.0
86,88623.3845,-177246769.0
87,80043.4865,-160086973.0
88,33190.772,-66381544.0
89,78669.186,-157338372.0
90,92507.991,-185015982.0
91,82978.78,-165957560.0
92,120214.363,-240428726.0
93,77971.5515,-155943103.0
94,46719.534,-93439068.0
95,81485.3805,-162970761.0
96,91538.5605,-183077121.0
97,99225.151,-198450302.0
98,79792.8115,-159585623.0
99,106716.799,-213433598.0
100,83596.719,-167193438.0
101,92530.576,-185061152.0
102,76036.811,-152073622.0
103,9198.513,-18397026.0
104,30790.1995,-61580399.0
105,2285.6465,-4571293.0
106,1594.288,-3188576.0
107,1465.729,-2931458.0
108,882.096,-1764192.0
109,2175.1255,-4350251.0
110,4383.4805,-8766961.0
111,4842.278,-9684556.0
112,2130.9855,-4261971.0
113,2139.0805,-4278161.0
114,8086.582,-16173164.0
115,11586.478,-23172956.0
116,2498.628,-4997256.0
117,2069.314,-4138628.0
118,4463.8775,-8927755.0
119,37457.8605,-74915721.0
120,28177.9395,-56355879.0
121,92021.675,-184043350.0
122,88573.3485,-177146697.0
